
2024/09/22 (13:29:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/22 (17:52:25) | ===> btop++ v.1.3.2
2024/09/22 (17:52:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/22 (17:52:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/23 (13:30:37) | ===> btop++ v.1.3.2
2024/09/23 (13:30:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/23 (13:30:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/24 (13:55:14) | ===> btop++ v.1.3.2
2024/09/24 (13:55:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/24 (13:55:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/24 (15:28:06) | ===> btop++ v.1.3.2
2024/09/24 (15:28:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/24 (15:28:06) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/24 (20:26:36) | ===> btop++ v.1.3.2
2024/09/24 (20:26:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/24 (20:26:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/24 (22:37:35) | ===> btop++ v.1.3.2
2024/09/24 (22:37:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/24 (22:37:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/26 (02:35:44) | ===> btop++ v.1.3.2
2024/09/26 (02:35:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/26 (02:35:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/29 (07:04:21) | ===> btop++ v.1.3.2
2024/09/29 (07:04:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/29 (07:04:21) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/29 (13:47:10) | ===> btop++ v.1.3.2
2024/09/29 (13:47:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/29 (13:47:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/02 (22:03:15) | ===> btop++ v.1.3.2
2024/10/02 (22:03:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/02 (22:03:15) | WARNING: ROCm SMI: Failed to get PCIe throughput
